             Binding p-values														Binding ratios	
EntrezGene Symbol	p65 (-LPS)	c-Rel (-LPS)	RelB (-LPS)	p50 (-LPS)	p52 (-LPS)		p65 (+LPS)	c+Rel (+LPS)	RelB (+LPS)	p50 (+LPS)	p52 (+LPS)			RNA pol II (-LPS)	RNA pol II (+LPS)
ALDH1A2	0.14	0.7	0.47	0.33	0.28		0.26	0.36	0.68	0.5	0.44			1.14	1.35
ALDH1A3	0.23	0.85	0.99	0.54	0.81		0.76	0.55	0.93	0.88	0.74				
ALDH1B1	0.9	0.75	0.83	0.37	0.36		0.83	0.84	0.37	0.05	0.67			1.45	1.52
ALDH2	0.34	0.32	0.43	0.86	0.65		0.6	0.42	0.57	0.67	0.24			1.41	1.44
ALDH3A1	0.72	0.6	0.51	0.85	0.97		0.8	0.88	0.77	0.89	0.6			0.83	0.84
ALDH3B1	0.75	0.25	0.13	0.19	0.57		0.58	0.32	0.47	0.05	0.28			5.29	5.49
ALDH3B2	0.56	0.57	0.42	0.64	0.63		0.66	0.64	0.44	0.78	0.52			1.24	1.43
ALDH5A1	0.3	0.27	0.64	0.48	0.92		0.47	0.71	0.39	0.62	0.69			0.77	0.8
ALDH7A1	0.18	0.32	0.1	0.4	0.84		0.54	0.85	0.68	0.37	0.69			1.1	1.05
ALDH8A1	0.47	0.59	0.6	0.72	0.36		0.74	0.67	0.9	0.78	0.74			1.01	0.95
ALDH9A1	0.13	0.12	0.06	0.37	0.58		0.19	0.34	0.38	0.63	0.18			0.97	0.99
ALDOA	0.45	0.36	0.11	0.35	0.92		0.02	0.37	0.71	0.61	0.57			2.17	1.62
ALDOB	0.97	0.48	0.94	0.95	0.98		0.98	0.9	0.86	0.85	0.98			0.75	0.45
ALDOC	0.13	0.23	0.53	0.67	0.34		0.55	0.63	0.63	0.59	0.37			2.6	2.04
ALDRL6	0.23	0.09	0.12	0.27	0.23		0.39	0.7	0.85	0.53	0.98			0.85	0.98
ALF	0.11	0.27	0.27	0.56	0.28		0.82	0.13	0.46	0.65	0.22			0.83	0.81
ALG1	0.67	0.45	0.7	0.56	0.43		0.63	0.3	0.62	0.37	0.7			2.62	1.79
ALG2	0.92	0.58	0.14	0.2	0.23		0.47	0.47	0.26	0.07	0.21			4.36	4.49
ALG3	0.9	0.98	0.32	0.26	0.8		0.54	0.85	0.63	0.24	0.65			4.08	3.9
ALG8	0.88	0.19	0.28	0.49	0.62		0.71	0.18	0.16	0.19	0.45			4.29	3.28
ALG9	0.74	0.55	0.69	0.3	0.31		0.8	0.66	0.43	0.28	0.69			2.15	1.69
ALKBH	0.62	 	0.28	0.01	 		0.81	0.47	0.74	0.1	0.68			5.48	5.05
ALOX12	0.05	0.19	0.14	0.19	0.59		0.17	0.42	0.49	0.33	0.24			1.49	1.61
ALOX12B	0.1	0.28	0.11	0.4	0.96		0.16	0.61	0.74	0.64	0.41			0.96	0.98
ALOX5	0.43	0.66	0.22	0.26	0.54		0.18	0.08	0.56	0.59	0.29			1.1	1.02
ALOX5AP	0.43	0.59	0.26	0.23	0.35		0.17	0.08	0.03	0.05	0.15			1.39	1
ALOXE3	0.64	0.48	0.22	0.03	0.33		0.56	0.54	0.52	0.02	0.07			0.64	0.73
ALPI	0.15	0.34	0.57	0.4	0.2		0.13	0.34	0.35	0.66	0.24			0.87	0.8
ALPP	0.04	0.21	0.19	0.3	0.32		0.06	0.45	0.25	0.37	0.24			1.17	1.13
ALPPL2	0.04	0.18	0.21	0.48	0.28		0.04	0.27	0.3	0.38	0.08			1.03	1.01
ALS2	0.84	0.34	0.27	0.21	0.83		0.51	0.62	0.22	0.24	0.67			3.25	2.65
ALS2CR19	0.36	0.48	0.7	0.09	0.5		0.43	0.52	0.62	0.27	0.69			2.34	1.9
ALS2CR3	0.8	0.83	0.33	0.43	0.2		0.81	0.33	0.38	0.44	0.71			3.22	2.91
ALX3	0.22	0.06	0.63	0.46	0.21		0.37	0.59	0.65	0.72	0.71			0.64	0.71
ALX4	0.43	0.27	0.23	0.83			0.8	0.97		0.74	 				
AMAC	0.28	0.3	0.08	0.22	0.25		0.18	0.12	0.67	0.62	0.06			1.36	1.19
AMACR	0.79	0.78	0.41	0.51	0.16		0.86	0.33	0.88	0.25	0.72			4.73	3.84
AMBP	0.67	0.38	0.3	0.57	0.26		0.54	0.44	0.61	0.46	0.6			1.11	1.01
AMD1	0.19	0.57	0.51	0.08	0.32		0.34	0.18	0.35	0.06	0.26			5.22	5.32
AMELX	0.71	0.8	0.67	0.83	0.32		0.89	0.88	0.8	0.87	0.67			0.78	0.71
AMH	0.34	0.18	0.33	0.86	0.43		0.18	0.6	0.28	0.61	0.24			1.69	1.67
AMHR2	0.19	0.53	0.55	0.8	0.57		0.59	0.83	0.45	0.75	0.75			0.73	0.76
AMMECR1	0.74	0.26	0.67	0.95	0.55		0.79	0.74	0.81	0.87	0.79			0.85	0.76
AMN	0.26	0.3	0.3	0.49	0.38		0.49	0.19	0.32	0.75	0.24			0.99	1.09
AMOT	0.14	0.12	0.65	0.23	0.37		0.12	0.44	0.57	0.16	0.72			0.99	1.14
AMPD1	0.79	0.93	0.58	0.86	0.51		0.83	0.74	0.7	0.83	0.57			0.7	0.74
AMPH	0.31	0.18	0.37	0.16	0.43		0.15	0.31	0.39	0.04	0.56			2.05	2.37
AMT	0.54	0.08	0.4	0.47	0.39		0.95	0.73	0.69	0.83	0.64			2.18	1.77
AMY2A	1	0.94	0.79	0.95	0.7		0.91	0.99	0.76	0.94	0.94			0.71	0.68
ANAPC1	0.44	 	0.1	0.53	 		0.75	0.11	0.43	0.28	0.38			3.59	2.98
ANAPC10	0.91	0.99	0.11	0.15	1		0.49	0.05	0.17	0.13	0.74			3.81	3.68
ANAPC4	0.82	 	 	0.71	 		0.31	0.9		0.65	 				
ANGPT2	0.3	0.69	0.54	0.74	0.59		0.99	0.81	0.75	0.76	0.77			0.74	0.71
ANGPT4	0.43	0.37	0.2	0.52	0.26		0.61	0.51	0.59	0.57	0.61			1.83	1.6
ANGPTL1	0.55	0.79	0.87	0.73	0.91		0.71	0.56	0.8	0.83	0.8			0.65	0.68
ANGPTL2	0.6	0.28	0.34	0.53	0.78		0.62	0.64	0.8	0.79	0.34			0.78	0.75
ANGPTL3	0.97	0.91	0.89	0.93	0.96		0.89	0.96	0.91	0.82	0.95			0.61	0.57
ANK1	0.29	0.52	0.36	0.25	0.51		0.51	0.34	0.32	0.37	0.34			0.92	0.96
ANK2	0.46	0.58	0.36	0.76	0.4		0.55	0.73	0.64	0.48	0.52			0.82	0.85
ANKH	0.12	0.35	0.12	0.4	0.37		0.01	0.24	0.47	0.52	0.25			0.99	1.06
ANKHD1	0.89	0.1	0.74	0.88	0.29		0.8	0.7		0.51	 			0.98	1.08
ANKMY1	0.6	0.24	0.4	0.28	0.78		0.25	0.63	0.63	0.56	0.54			1.64	1.45
ANKRA2	0.62	0.87	0.41	0.32	0.91		0.4	0.38	0.19	0.12	0.64			3.65	3.2
ANKRD1	0.48	0.89	0.71	0.52	0.61		0.76	0.44	0.74	0.87	0.64			0.65	0.74
ANKRD10	0.43	0.6	0.96	0.87	0.28		0.64	0.56	0.68	0.73	0.55			0.95	1.07
ANKRD2	0.51	0.75	0.55	0.53	0.25		0.25	0.37	0.16	0.34	0.18			1	0.94
ANKRD27	0.92	0.47	 	0.69	0.22		0.92	0.88	0.62	0.85	1				
ANKRD30A	0.47	0.04	0.09	0.2	0.16		0.44	0.16	0.62	0.61	0.56			0.96	0.96
ANKRD32	0.19	0.14	0.29	0.16	0.17		0.22	0.32	0.19	0.58	0.09			0.97	0.99
ANKRD6	0.33	0.56	0.29	0.49	0.84		0.59	0.46	0.77	0.86	0.47			0.85	0.76
ANKRD7	0.64	 	0.44	0.8	 		0.86	0.92	0.84	0.78	0.68			0.67	0.58
ANLN	0.14	0.09	0.14	0.17	0.19		0.32	0.07	0.24	0.29	0.09			0.66	0.69
ANP32A	0.91	0.23	 	0.27			0.67	0.51	0.36	0.16	0.84			1.43	2.03
ANP32B	0.39	0.41	0.48	0.07	0.77		0.65	0.37	0.66	0.54	0.7			0.97	1
ANP32D	0.99	0.99	0.96	0.95	0.54		0.25	0.9	0.84	0.85	0.47			0.97	0.83
ANP32E	0.57	 	0.19	0.05	 		0.04	0.2	0.17	0.07	0.25			2.89	3.16
ANPEP	0.14	0.3	0.38	0.49	0.27		0.06	0.66	0.44	0.33	0.18			2.41	3.24
ANXA1	0.72	0.71	0.82	0.9	0.56		0.78	0.79	0.56	0.8	0.76			1.98	1.81
ANXA11	0.33	0.22	0.57	0.33	0.55		0.48	0.53	0.19	0.34	0.34			3.2	2.57
ANXA13	0.5	0.19	0.46	0.61	0.5		0.51	0.39	0.24	0.85	0.17			0.94	0.93
ANXA2	0.81	0.71	 	0.9	0.4		0.91	0.86	0.93	0.58	 				
ANXA3	0.99	0.82	0.62	0.92	0.37		0.81	0.61	0.79	0.94	0.74			0.68	0.7
ANXA5	0.58	0.76	 	0.85	0.32		0.93				 			0.76	0.3
ANXA8	0.33	0.69	0.13	0.59	0.52		0.75	0.63	0.87	0.87	0.45			0.84	0.79
AOAH	0.88	0.93	0.63	0.52	0.94		0.47	0.75	0.35	0.21	0.87			2.23	1.74
AOC2	0.36	0.51	0.24	0.45	0.29		0.24	0.65	0.42	0.51	0.26			1.49	1.93
AOC3	0.11	0.24	0.88	0.89	0.34		0.52	0.37	0.76	0.79	0.88			0.82	0.68
AP1GBP1	0.82	0.45	0.99	0.64	0.98		0.67	0.75	0.91	0.83	 				1.27
AP1M1	0.87	0.84	0.69	0.36	0.62		0.59	0.83	0.79	0.15	0.8			4.03	3.39
AP1S1	0.19	0.18	0.14	0.15	0.27		0.23	0.24	0.19	0.23	0.24			1.37	1.41
AP1S2	0.84	0.17	0.12	0	0.12		0	0	0.01	0	0.02			4.5	5.49
AP2A1	0.99	0.98	0.54	0.6	1		0.89	0.96	0.79	0.19	0.93			3.32	3.26
AP2B1	0.69	0.9	0.42	0.34	0.97		0.64	0.67	0.13	0.1	0.88			3.83	4.17
AP2M1	0.29	0.55	0.68	0.38	0.4		0.76	0.84	0.14	0.2	0.51			1.92	1.87
AP2S1	0.24	0.22	0.1	0.2	0.18		0.24	0.26	0.18	0.34	0.08			1.69	1.72
AP3B1	0.24	0.02	0.53	0.86	0.44		0.8	0.5	0.96	0.77	 			1.84	1.62
AP3M1	0.81	0.23	0.51	0.47	0.7		0.73	0.77	0.16	0.09	0.63			3.7	2.9
AP4B1	0.87	0.8	0.11	0.06	0.33		0.36	0.63	0.09	0	0.19			3.56	3.49
AP4E1	0.84	0.53	0.27	0.41	0.51		0.46	0.22	0.6	0.49	0.36			1.56	1.85
AP4M1	0.12	0.71	0.16	0.68	0.38		0.42	0.58	0.73	0.67	0.48			3.23	2.21
AP4S1	0.61	0.25	0.81	0.9	0.37		0.47	0.42	0.34	0.56	0.64			1.73	2.26
APAF1	0.19	0.24	0.4	0.25	0.32		0.09	0.15	0.2	0.11	0.13			1.99	1.72
APBA1	0.1	0.09	0.31	0.19	0.22		0.04	0.14	0.18	0.42	0.06			0.99	1
APBA2BP	0.42	0.55	0.24	0.83	0.36		0.7	0.69	0.82	0.73	0.77			1.87	1.37
APBB1	0.13	0.11	0.23	0.27	0.32		0.82	0.54	0.67	0.7	0.38			0.83	0.93
APBB1IP	0.69	 	0.03	0	 		0	0	0	0	0.01			3.14	2.17
APBB3	0.92	0.71	0.24	0.24	0.2		0.29	0.64	0.07	0.05	0.53			4.4	4.56
APC	0.75	0.72	0.94	0.88	0.97		0.96	0.92	0.96	0.87	0.93			0.67	0.63
APCS	0.01	0.17	0.77	0.27	0.75		0.23	0.72	0.77	0.73	0.83			0.62	0.67
APEG1	0.57	0.28	0.47	0.77	0.62		0.18	0.62	0.58	0.68	0.11			0.87	0.96
APEH	0.78	0.61	0.14	0.32	0.22		0.64	0.53	0.55	0.29	0.32			4	3.87
APEX1	0.78	 	0.41	0.23	 		0.24	0.62	0.16	0.03	0.54			4.46	3.73
APEX2	0.79	 	0.47	0.48	 		0.46	0.17	0.13	0.13	0.23			3.56	3.41
APG-1	0.37	0.53	0.16	0	0.15		0.7	0.18	0.48	0	0.09			2.3	1.96
APG10L	0.24	0.29	0.24	0.4	0.51		0.5	0.43	0.47	0.77	0.39			0.9	0.99
APG12L	0.53	0.22	0.23	0.08	0.25		0.12	0.12	0.51	0.14	0.19			3.2	3.12
APG3L	0.9	0.76	0.1	0.16	0.28		0.65	0.91	0.05	0.02	0.13			5.28	5.57
APG4C	0.78	0.77	0.26	0.13	0.59		0.23	0.43	0.06	0.1	0.6			3.28	2.31
APG4D	0.38	0.8	0.76	0.16	0.41		0.02	0.14	0.9	0.23	0.92			1.9	0.89
APG5L	0.35	0.36	0.08	0.48	0.53		0.23	0.56	0.56	0.6	0.13			1.82	1.84
APLN	0.17	0.03	0.5	0.55	0.2		0.17	0.47	0.35	0.62	0.08			1.01	1
APLP1	0.19	0.67	0.23	0.26	0.23		0.52	0.5	0.64	0.53	0.25			1.21	1.13
APOA1	0.15	0.3	0.48	0.2	0.17		0.44	0.28	0.34	0.59	0.33			1.07	1.05
APOA2	0.52	0.2	0.14	0.26	0.51		0.67	0.12	0.61	0.62	0.37			2.86	3.42
APOA4	0.54	0.56	0.26	0.86	0.6		0.56	0.85	0.62	0.69	0.42			0.79	0.77
APOA5	0.15	0.2	0.46	0.33	0.35		0.32	0.43	0.59	0.37	0.2			0.89	0.84
APOB	0.6	0.63	0.3	0.59	0.24		0.8	0.94	0.79	0.88	0.58			0.65	0.66
APOB48R	0.17	0.08	0.38	0.04	0.13		0.03	0.09	0.04	0.06	0.05			5.32	3.89
APOBEC1	0.06	0.01	0.04	0.13	0.53		0.13	0.1	0.24	0.61	0.05			1	1
APOBEC2	0.1	0.12	0.23	0.39	0.28		0.29	0.61	0.46	0.75	0.57			0.94	0.85
APOC2	0.29	0.12	0.2	0.2	0.11		0.16	0.34	0.09	0.34	0.08			2.73	2.54
APOC3	0.24	0.39	0.12	0.33	0.76		0.64	0.41	0.75	0.68	0.7			0.84	0.92
APOC4	0.15	0.13	0.07	0.32	0.5		0.45	0.1	0.42	0.54	0.12			0.96	0.9
APOE	0.09	0.17	0.24	0.22	0.28		0.34	0.15	0.2	0.48	0.11			1.24	1.18
APOF	0.26	0.37	0.27	0.42	0.69		0.61	0.35	0.57	0.62	0.3			0.93	0.97
APOH	0.69	0.38	0.88	0.92	0.61		0.71	0.63	0.74	0.86	0.67			0.71	0.68
APOL2	0.1	0.25	0.43	0.51	0.36		0.08	0.15	0.16	0.55	0.1			1.08	0.99
APOL3	0.55	0.52	0.17	0.75	0.29		0.81	0.78	0.76	0.79	0.59			1.01	0.98
APOL5	0.09	0.28	 	0.17			0.34	0.39	0.95	0.56	0.95			0.82	0.89
APOL6	0.12	0.2	0.11	0.41	0.37		0.15	0.18	0.23	0.48	0.09			1.23	1.19
APOM	0.56	 	0.89	0.72	 		0.9	0.73	0.46	0.85	0.76			1.91	2.08
APP	0.5	0.4	0.9	0.61	0.25		0.7	0.53	0.89	0.63	0.77			1.19	0.91
APPBP2	0.71	0.42	0.25	0.42	0.56		0.16	0.14	0.13	0.18	0.25			3.21	3.18
APPL	0.52	0.39	0.57	0.4	0.54		0.26	0.31	0.25	0.42	0.3			2.36	1.76
APR-2	0.39	 		0.33	 		0.13	0.56	 	0.3	 				1.47
APRIN	0.66	0.7	0.5	0.36	0.27		0.44	0.45	0.82	0.34	0.58			2.81	2.26
APRT	0.89	0.48	0.2	0.08	0.35		0.18	0.7	0.52	0.02	0.08			3.86	3.75
APXL	0.07	0.06	0.08	0.18	0.26		0.06	0.08	0.3	0.66	0.06			0.97	0.93
AQP1	0.03	0.03	0.94	0.02	0.92		0.13	0.02	0.45	0.07	0.57			1.05	0.97
AQP10	0.38	0.9	0.42	0.71	0.84		0.74	0.77	0.78	0.81	0.78			0.69	0.65
AQP2	0.35	0.25	0.18	0.19	0.83		0.27	0.71	0.72	0.83	0.6			0.93	0.91
AQP3	0.6	0.08	0.97	0.09	0.33		0.28	0.26	0.25	0.02	0.79			0.93	0.87
AQP5	0.22	0.23	0.14	0.11	0.61		0.12	0.11	0.7	0.56	0.64			1.07	1.11
AQP6	0.31	0.02	 	0.26	0.41		0.42	0.66	0.88	0.86	0.86				
AQP9	0.96	0.84	0.91	0.52	0.96		0	0	0	0	0			1.52	3.12
AR	0.74	0.65	0.55	0.74	0.27		0.94	0.75	0.55	0.78	0.55			0.84	0.91
ARAF1	0.33	0.25	0.17	0.15	0.16		0.26	0.19	0.22	0.52	0.29			1.01	1
ARCN1	0.09	0.13	0.15	0.39	0.14		0.43	0.17	0.27	0.54	0.1			1.44	1.55
ARD1	0.27	0.11	1	0.93	0.88		0.92	0.97	0.92	0.83	0.85				
AREG	0.68	0.25	0.79	0.98	0.36		0.85	0.46	0.67	0.76	0.61			0.97	1.01
ARF1	0.61	0.13	0.54	0.07	0.05		0.1	0.03	0.05	0.05	0.01			2.87	3.4
ARF3	0.28	0.21	0.26	0	0.33		0	0.02	0	0	0.02			3.06	3.04
ARF5	0.22	0.6	0.4	0.5	0.53		0.53	0.75	0.45	0.75	0.65			0.98	0.88
ARFGAP1	0.56	 	0.89	0.03	 		0.06	0.8	0.9	0.08	0.7			2.37	2.28
ARFGAP3	0.21	0.5	0.05	0.49	0.41		0.8	0.12	0.4	0.65	0.26			0.96	0.96
ARFGEF1	0.84	0.22	 	0.74	0.98		0.83	0.98		0.85	0.81				
ARFGEF2			 	0.76	0.25						 				
ARFIP2	0.51	0.58	0.59	0.51	0.59		0.74	0.35	0.76	0.59	0.93			2.25	2.01
ARFRP1	0.68	0.61	0.22	0.42	0.19		0.56	0.62	0.32	0.33	0.28			1.79	2.56
ARFRP2	0.48	0.58	0.4	0.19	0.54		0.04	0.25	0.1	0.05	0.24			6.03	6.84
ARG1	0.83	0.79	0.97	0.93	0.95		0.96	0.85	0.87	0.91	0.91			0.83	0.68
ARG2	0.29	0.63	0.27	0.25	0.27		0.29	0.61	0.58	0.23	0.58			1.6	1.7
ARGBP2	0.34	0.09	0.78	0.86	0.5		0.68	0.54	0.68	0.83	0.58			0.59	0.62
ARHE	0.36	0.66	0.51	0.69	0.81		0.8	0.87	0.58	0.57	0.65			0.75	0.75
ARHGAP10	0.59	0.84	0.34	0.62	0.89		0.92	0.5	0.7	0.84	0.72			0.77	0.74
ARHGAP11A	0.94	0.31	0.13	0.09	0.41		0.43	0.1	0.12	0.12	0.25			3.89	2.48
ARHGAP15	1	0.96	0.72	0.65	0.62		0.85	0.87	0.67	0.34	0.87			2.06	1.15
ARHGAP18	0.53	0.43	0.56	0.9	0.51		0.74	0.15	0.49	0.81	0.57			1.04	1.03
ARHGAP22	0.15	0.23	0.58	0.4	0.62		0.42	0.39	0.63	0.56	0.44			0.85	0.9
ARHGAP26	0.64	0.24	0.46	0.19	0.52		0.11	0.24	0.19	0.13	0.11			2	1.77
ARHGAP4	0.6	0.22	0.16	0.03	0.34		0.02	0.04	0	0	0.05			4.48	3.88
ARHGAP5	0.49		 		0.96		0.61				0.91				
ARHGAP6	0.22	0.39	0.74	0.51	0.27		0.28	0.23	0.32	0.64	0.77			0.74	0.78
ARHGDIA	0.45	0.55	0.62	0.11	0.33		0.58	0.18	0.14	0.18	0.55			3.89	3.39
ARHGDIB	0.99	0.96	0.79	0.91	0.54		0.85	0.85	0.47	0.48	0.96			3.34	3.81
ARHGDIG	0.26	0.15	0.15	0.35	0.33		0.61	0.49	0.72	0.61	0.22			1.3	1.28
ARHGEF1	0.78		 	0.79			0.53			0.83	 				
ARHGEF11	0.85	0.81	0.82	0.82	0.84		0.83	0.86	0.73	0.65	0.9			1.58	1.71
ARHGEF12	0.33	0.17	0.19	0.27	0.52		0.35	0.48	0.63	0.38	0.15			1.59	2.35
ARHGEF15	0.18	0.38	0.09	0.43	0.26		0.47	0.57	0.41	0.62	0.19			0.94	0.99
ARHGEF16	0.56	0.12	0.53	0.38	0.83		0.23	0.88	0.67	0.72	0.67			0.76	0.76
ARHGEF18	0.7	0.2	0.51	0.7			0.22	0.8		0.65	0.96			2.16	1.92
ARHGEF2	0.66	0.28	0.04	0	0.2		0	0	0	0	0			4.84	5.94
ARHGEF3	0.92	0.61	0.29	0.54	0.17		0.77	0.65	0.6	0.53	0.26			2.42	1.97
ARHGEF4	0.05	0.19	0.6	0.3	0.4		0.52	0.05	0.64	0.57	0.56			0.88	0.94
ARHGEF7	0.56	0.7	0.18	0.23	0.17		0.76	0.26	0.36	0.03	0.43			4.78	4.86
ARHI	0.45	0.41	0.78	0.45	0.34		0.59	0.55	0.47	0.66	0.56			0.78	0.77
ARHN	0.16	 	0.41	0.73	 		0.33	0.76	0.41	0.62	0.36			0.81	0.91
ARID1B	0.49	0.8	 	0.52	0.73		0.68	0.87		0.77	 				
ARID3A	0.08	0.25	0.09	0.24	0.2		0.72	0.12	0.68	0.85	0.24			0.89	0.98
ARID3B	0.21	0.08	0.29	0.38	0.27		0.32	0.78	0.41	0.78	0.44			0.84	0.88
ARID4A	0.88	0.74	0.68	0.16	0.94		0.69	0.39	0.25	0.19	0.55			4.8	4.29
ARIH1	0.47	0.66	0.41	0.07	0.36		0.06	0.06	0.06	0.02	0.12			5.63	6.19
ARL1	0.66	0.83	0.39	0	0.09		0.38	0.42	0.08	0	0			4.22	3.61
ARL10C	0.25	0.84	0.58	0.45	0.54		0.37	0.09	0.12	0.06	0.2			3.07	4.47
ARL11	0.76	0.38	0.15	0.51	0.15		0.58	0.59	0.79	0.41	0.48			2.99	2.17
ARL2	0.77	0.69	0.43	0.12	0.59		0.77	0.67	0.38	0.02	0.43			3.2	2.88
ARL2BP	0.99	0.39	0.6	0.58	0.99		0.68	0.93	0.65	0.56	0.8			5.35	6.39
ARL5	0.46	0.45	0.19	0.37	0.77		0.6	0.01	0.38	0.21	0.35			3.82	3.22
ARL6	0.74	 	0.7	0.39	 		0.27	0.36	0.18	0.09	0.42			3.19	2.11
ARL6IP4	0.39	 	 	0.58	 		0.91	0.81		0.89	 				
ARL6IP5	0.53	0.84	0	0	0.24		0.02	0	0	0	0.42			3.37	3.04
ARL7	0.89		 	0.97	0.54		0.73	0.9		0.87	 				
ARMC1	0.97	1	0.79	0.79	0.83		0.55	0.98	0.33	0.33	0.86			4.08	3.39
ARMC2	0.74	1	0.92	0.56	0.5		0.85	0.62	0.76	0.76	0.73			0.84	0.7
ARMC6	0.78	0.39	0.53	0.04	0.53		0.36	0.38	0.18	0.07	0.6			3.34	3.49
ARMC8	0.94	0.68	0.55	0.13	0.65		0.66	0.68	0.31	0.16	0.55			3.74	2.87
ARMCX1	0.05	0.02	0.4	0.25	0.21		0.47	0.3	0.25	0.66	0.15			0.96	0.97
ARMCX2	0.09	0.41	0.47	0.52	0.54		0.74	0.57	0.62	0.84	0.37			0.9	0.93
ARMCX3	0.44	0.5	0.21	0.31	0.22		0.25	0.61	0.34	0.49	0.3			2.16	2.2
ARNT	0.23	0.11	0.07	0.41	0.54		0.28	0.73	0.53	0.27	0.27			2.96	3.34
ARNT2	0.24	0.55	0.5	0.58	0.97		0.49	0.71	0.59	0.84	0.74			0.66	0.64
ARNTL2	0.07	0.77	0.23	0.55	0.36		0.68	0.84	0.64	0.33	0.67			2.12	3.31
ARP3BETA	0.5	0.97	 	0.8	0.99		0.76	0.73		0.8	0.68			1.3	
ARPC1A	0.69	0.39	0.58	0.74	0.34		0.37	0.41	0.04	0.23	0.1			4.9	4.75
ARPC1B	0.14	0.17	0.25	0.48	0.43		0.12	0.56	0.21	0.41	0.12			1.18	1.25
ARPC3	0.2	0.16	0.08	0.29	0.72		0.07	0.32	0.42	0.45	0.24			2.06	3.01
ARPC5	0.56	0.81	0.09	0.03	0.82		0.48	0.25	0.07	0	0.23			2.78	3.68
ARPC5L	0.91	0.33	0.15	0.21	0.13		0.85	0.12	0.39	0.19	0.15			3.98	4.16
ARPM2	0.49	0.46	0.14	0.45	0.8		0.29	0.74	0.77	0.89	0.64			0.85	0.82
ARPP-19	0.36	0.65	0.28	0.65	0.66		0.74	0.32	0.43	0.82	0.43			0.9	1
ARPP-21	0.48	0.65	0.5	0.78	0.38		0.93	0.82	0.94	0.81	0.93			0.69	0.62
ARRB1	0.2	0.11	0.4	0.44	0.19		0.01	0.39	0.22	0.57	0.22			1.04	1.08
ARRDC2	0.5	0.64	0.5	0.23	0.38		0.44	0.64	0.14	0.29	0.25			1.46	1.63
ARS	0.62	0.13	0.27	0.77	0.69		0.45	0.82	0.64	0.64	0.53			0.91	0.71
ARS2	0.7	0.76	0.46	0.23	0.21		0.5	0.18	0.12	0.21	0.23			5.47	5.72
ARSA	0.41	0.2	0.29	0.25	0.13		0.28	0.05	0.12	0.25	0.23			2.5	2.41
ART1	0.33	0.15	0.2	0.31	0.32		0.65	0.24	0.42	0.47	0.35			0.85	0.87
ART5	0.08	0.15	0.45	0.18	0.24		0.11	0.14	0.43	0.38	0.15			1	1.01
ARTN	0.57	0.57	0.11	0.19	0.66		0.46	0.59	0.45	0.81	0.24			1.51	1.26
ARTS-1	0.78	0.3	0.59	0	0.21		0.19	0.49	0.09	0	0.07			2.46	2.02
ARVCF	0.05	0.3	0.95	0.21	0.71		0.36	0.34	0.75	0.59	0.47			0.82	0.9
AS3MT	0.19	0.42	0.76	0.23	0.62		0.28	0.35	0.81	0.46	0.61			1.19	1.16
ASAH2	0.4	0.56	0.92	0.51	0.23		0.67	0.46	0.56	0.77	0.83			0.62	0.61
ASAH3	0.11	0.3	0.41	0.6	0.65		0.44	0.21	0.33	0.58	0.57			0.91	0.92
ASB1	0.48	0.06	 	0.07	0.58		0.73	0.74		0.58	 				
ASB10	0.12	0.04	0.9	0.31	0.29		0.05	0.08	0.64	0.22	0.37			1.77	1.85
ASB11	0.59	0.31	0.08	0.44	0.21		0.25	0.01	0.69	0.86	0.6			0.96	1.01
ASB12	0.27	0.61	0.92	0.47	0.2		0.29	0.38	0.67	0.77	0.57			0.72	0.68
ASB13	0.24	0.42	0.33	0.41	0.34		0.22	0.2	0.39	0.63	0.55			0.86	0.95
ASB14	0.41	0.25	0.17	0.45	0.42		0.59	0.42	0.33	0.62	0.27			1.09	1.09
ASB16	0.65	0.15	0.28	0.43	1		0.99	0.82	0.89	0.92	0.3			1.77	1.56
ASB3	0.55	0.37	0.3	0.08	0.28		0.18	0.36	0.08	0.11	0.22			3.77	3.19
ASB5	0.67	0.86	0.64	0.94	0.79		0.98	0.69	0.8	0.87	0.82			0.88	0.83
ASB6	0.16	 	 	0.63	 		0.45	0.67		0.45	 				2.15
ASB7	0.9	 	0.53	0.16	 		0.2	0.75	0.17	0.02	0.35			3.27	2.87
ASCL1	0.66	0.71	 	0.74	0.21		0.84	0.87		0.74	 				
ASCL2	0.13	0.12	0.41	0.63	0.27		0.19	0.62	0.25	0.57	0.29			0.93	0.99
ASCL3	0.08	0.06	0.1	0.17	0.36		0.43	0.59	0.39	0.66	0.19			0.92	0.97
ASE-1	0.51	0.51	0.19	0.05	0.26		0.19	0.1	0.11	0	0.15			2.16	2.09
ASF1A	0.99	0.99	1	0.97	0.67		0.99	0.89	0.91	0.9	1			0.74	0.67
ASF1B	0.96	0.66	0.71	0.72	0.71		0.55	0.76	0.69	0.22	0.82			3.78	4.34
ASGR1	0.46	0.34	0.13	0.48	0.33		0.37	0.79	0.41	0.35	0.4			1.1	0.9
ASGR2	0.2	0.17	0.04	0.03	0.36		0.04	0.01	0	0.01	0.02			2.17	1.58
ASH1	0.55	0.56	0.08	0.03	0.53		0	0	0	0	0.05			2.07	3.65
ASH2L	0.94	0.74	0.17	0.24	0.54		0.8	0.62	0.51	0.13	0.29			4.51	4.55
